,Q1_Q1,Q1_Q2,Q1_Q3,Q2_Q1,Q2_Q2,Q2_Q3,Q3_Q1,Q3_Q2,Q3_Q3
1970-01-01,-0.10892599638629408,-0.0833607636579656,-0.07745514423090619,-0.08660973710742616,-0.09065760109090032,-0.04361433096717154,-0.07706041603081637,-0.05117519349941714,-0.020559089750844903
1970-02-01,0.08226407280007145,0.11496841762580157,0.10305688871017624,0.05711150862162881,0.07608877826978863,0.08121624051465444,0.03961850020584614,0.0783997014718196,0.06928240801769789
1970-03-01,-0.0019128754704961664,0.006779988133970433,-0.00510030783528777,0.004495178610407671,0.005012009478479226,0.02050699540112434,-0.0010766485065577007,-0.0004035537493369979,0.021314320292229183
1970-04-01,-0.10064928876261695,-0.1199850972144885,-0.13540706099059335,-0.08388575709836266,-0.06818347982001904,-0.07946602174604939,-0.09373380034505158,-0.08719515691207957,-0.072053815652209
1970-05-01,-0.06984937637861122,-0.05276359369970003,-0.07422766727204218,-0.05063166442732965,-0.06289044855013018,-0.07398857911686549,-0.052639495202635986,-0.02604939573520508,-0.05537112753732209
1970-06-01,-0.05989909939995765,-0.07453676170087298,-0.06832315355337344,-0.04944288076490873,-0.038022030084396995,-0.023662948619607962,-0.05331171773636798,-0.020126350143622296,-0.04062301410229917
1970-07-01,0.09369566309153762,0.12353422252132444,0.11071479901465393,0.06561048559209458,0.08954365982261732,0.0956061074598547,0.06863086747743966,0.05795699551822103,0.04850508393245767
1970-08-01,0.09721769541310393,0.07179427646804452,0.07940914203443485,0.05877134267159985,0.04203267865033017,0.03213265244203309,0.04270739136150978,0.020694044510126564,0.033908596559924814
1970-09-01,0.05818447053310355,0.0225741102958723,0.08970683286364566,0.04349261279613014,-0.010983108804346164,0.03664825361046527,0.030680927928739277,0.020301473262867895,0.02702068394919859
1970-10-01,-0.07031013618445262,-0.04950361769260698,-0.06917055371107306,-0.009837001412981734,-0.0071831342279659975,-0.033973670708321344,0.0018254264419087507,-0.013317223715864489,-0.014329333772183619
1970-11-01,0.07122947643684821,0.06105173128063058,0.026606847694037667,0.04899934539962341,0.0691028111652803,0.06173452102663272,0.05051803488364667,0.0486209806039518,0.0508373643333161
1970-12-01,0.07749021977611663,0.0938646347856332,0.06828838416693138,0.04771159064874205,0.06912569202567342,0.08788074722153923,0.04610072522478086,0.06505559006021432,0.07307108717281678
1971-01-01,0.10994849158954813,0.0660054116142837,0.0824861471314323,0.03762040184184716,0.04530055826110505,0.03616064463331694,0.020737305290973597,0.06689078342079877,0.029946713838380556
1971-02-01,0.01813564206078137,0.03126149102120268,0.029116561981037816,0.011247499703176254,-0.001079951158303707,0.0246155511028759,0.012496407674541524,0.010744963677263259,0.005791663045465121
1971-03-01,0.047926840612880335,0.0488956090753872,0.048437226975664334,0.046559138291751324,0.0316450607371342,0.03179785437887604,0.033586243006165487,0.028453771398597578,0.03427211746377668
1971-04-01,0.08219377770978357,0.06549738556100194,0.08387850382087803,0.043737621746699734,0.016147014823248033,0.04529670230428741,0.031106112854233595,0.024294483869401563,0.01705362100971337
1971-05-01,-0.02493238207667757,-0.02382971817526843,-0.050882847079327734,-0.02311595258308979,-0.03257469225889511,-0.025542344134551545,-0.04575173573812717,-0.0473629751668346,-0.03261141584282745
1971-06-01,0.009064678069687337,-0.009197408727031797,-0.05872261867974119,0.013380600444939847,0.00039333558463448305,0.004729570114635309,-0.0019372817310940637,0.004247435388122235,-0.012809022640147542
1971-07-01,-0.07100343131448796,-0.06986550194510813,-0.04627468138487906,-0.033978828534929346,-0.04869984488622091,-0.03347202423154666,-0.04327933622514471,-0.030783701558062544,-0.03231698494874107
1971-08-01,0.054335167458701095,0.0863266527763127,0.07871604941565716,0.026196486175232948,0.04055703008432059,0.057503385548763046,0.044509768290111267,0.015678992509345794,0.03298554895651995
1971-09-01,-0.010088838941657992,-0.010856664729661111,-0.016846116385798943,-0.011844973650665964,-0.012285524166384872,-0.025980918649861434,0.004205296273275845,-0.008325937597802474,-0.020865486275107238
1971-10-01,-0.0560874958096514,-0.06510996596289671,-0.07113222251335578,-0.03864995019762171,-0.049650218309760664,-0.0710949646558263,-0.029374851043395336,-0.03403724409505456,-0.052207848366337316
1971-11-01,0.00432779445139571,-0.014687629768136196,-0.011636619210935475,0.004034202324458544,-0.012793871437506652,-0.03010764750651866,0.006185957453175118,0.0031446686972537927,0.0038047985532695117
1971-12-01,0.0836041294096476,0.11280699132834696,0.13546261607931015,0.07491980473437,0.09662656298433919,0.1058486024519915,0.08435876610528908,0.0861083587886939,0.08608447545396948
1972-01-01,0.07083214116761864,0.044504639445325504,0.09666939886928937,-0.010248119196958038,0.010938262742806088,0.01823549473120532,0.02617592984934728,1.5648695117657062e-05,0.013249910885064501
1972-02-01,0.0521436099215373,0.039882065475259784,0.0012729098781746897,0.040945873266923984,0.023192759010187847,0.027469166876932134,0.02823273443522301,0.012994698324357689,0.03831815250329565
1972-03-01,-0.026375496805718518,0.00682721588507097,-0.02013535277593927,0.010816512506425423,0.018725207180795962,-0.013100940897911847,0.005866415296940698,0.02369656008484838,0.0023701196742338835
1972-04-01,0.0181768499379373,0.0004009507528126778,0.05402725342071441,-0.006459925136500807,0.022577749708065274,0.008596330717576067,0.006348318788962089,-0.0004358198803075487,-0.01661086485081311
1972-05-01,0.012742295852164607,0.031129543879687856,-0.017060832757731716,0.02967220616226451,-0.016771328993081966,-0.009888323705838083,0.04374098147188464,-0.001958995714338605,-0.00020332465446405842
1972-06-01,-0.06648547545643828,-0.05771299369178419,-0.04384278764954905,-0.024811183651893456,-0.03771125831748705,-0.014952501888399894,-0.0021003539124939503,-0.020324353497819792,-0.02621860946913108
1972-07-01,-0.0196403758327097,-0.0017350869002057978,-0.05486775950986931,0.014810282768135364,-0.011724303716830128,-0.030332553565950573,0.017693792109664725,-0.014279403886903254,-0.009044609458286399
1972-08-01,0.05310268371515423,0.03161475486092176,0.05274719810844246,0.028025383756451246,0.060603944885306446,0.04209319050495059,0.037581174789180896,0.05856843915258861,0.027088696777528277
1972-09-01,-0.02301793982862095,-0.06392341934621407,-0.027118541428940594,-0.007510262242237697,-0.022067985023398323,-0.016997731608778696,0.008148042736199946,0.019554167989534157,-0.03214927503004579
